Structure Number1,GPS Lat,GPS Long,Wood Species2,Preservative3,Moisture %,Chlorine %,Sawdust Program wt.% Pres.,Sawdust Progrqm PCF,Comments
1 (1),45.40456,-63.30878,DF,Penta,31,,-0.007,-0.002,Negative despite being run on low range calibration
1 (2),45.40456,-63.30878,DF,Penta,25.8,,0.194,0.055,
2 (1),45.40467,-63.30728,DF,Penta,13.1,,0.003,0.001,
2 (2),45.40467,-63.30728,DF,Penta,9.5,,0.004,0.001,
3 (1),45.40397,-63.30439,DF,Penta,14.7,,0.065,0.016,
3 (2),45.40397,-63.30439,DF,Penta,8.9,,0.057,0.016,
3 (3),45.40397,-63.30439,DF,Penta,7.3,,0.008,0.008,
4 (1),45.40419,-63.30003,DF,Penta,15.3,,0.159,0.045,
4 (2),45.40419,-63.30003,DF,Penta,14.4,,0.005,0.001,
4 (3),45.40419,-63.30003,DF,Penta,13.3,,0.02,0.006,
5 (1),45.40163 N,63.29742 W,DF,Penta,13.7,,0.049,0.014,
5 (2),45.40163 N,63.29742 W,DF,Penta,10.1,,0.163,0.046,
5 (3),45.40163 N,63.29742 W,DF,Penta,10.6,,0.024,0.007,
6 (1),45.40225 N,63.29625 W,DF,Penta,13.6,,0.074,0.021,
6 (2),45.40225 N,63.29625 W,DF,Penta,10.2,,0.025,0.007,
7 (1),45.40305 N,63.29484 W,DF,Penta,8.9,,0.762,0.214,
7 (2),45.40305 N,63.29484 W,RP,Penta,10.4,,0.385,0.093,
8 (1),45.40742,-63.29839,RP,Penta,10.6,,0.2,0.049,
8 (2),45.40742,-63.29839,RP,Penta,8.1,,0.871,0.212,
9 (1),45.40892,-63.2955,RP,Penta,9.9,,0.647,0.157,
9 (2),45.40892,-63.2955,RP,Penta,8.3,,0.384,0.093,
10 (1),45.41092,-63.29189,RP,Penta,8.3,,0.586,0.142,
10 (2),45.41092,-63.29189,RP,Penta,8.4,,0.158,0.038,
11 (1),45.41239,-63.28922,RP,Penta,11.8,,0.046,0.011,
11 (2),45.41239,-63.28922,RP,Penta,10.7,,-0.007,-0.002,Negative despite being run on low range calibration
12 (1),45.41439,-63.28553,RP,Penta,8.5,,0,0,
12 (2),45.41439,-63.28553,RP,Penta,11.6,,0.005,0.001,
12 (3),45.41439,-63.28553,RP,Penta,10.2,,,0,
13 (1),45.41481,-63.29358,RP,Penta,8.5,,0.022,0.005,
13 (2),45.41481,-63.29358,RP,Penta,8,,-0.009,-0.002,Negative despite being run on low range calibration
14 (1),45.37589,-63.27647,DF,Penta,8.7,,0.224,0.063,
14 (2),45.37589,-63.27647,DF,Penta,8.2,,0.448,0.126,
15 (1),45.41569,-63.28653,DF,Penta,8.6,,0.79,0.222,
15 (2),45.41569,-63.28653,DF,Penta,9,,0.523,0.147,
16 (1),45.416,-63.28375,RP,Penta,9.9,,0.003,0.001,
16 (2),45.416,-63.28375,RP,Penta,9,,0.003,0.001,
17 (1),45.41631,-63.28094,DF,Penta,14,,0.34,0.096,
17 (2),45.41631,-63.28094,DF,Penta,9.7,,0.452,0.127,
17 (3),45.41631,-63.28094,DF,Penta,9.4,,0.155,0.044,
18 (1),45.41681,-63.27411,RP,Boron,11.8,,,-1,Creo
